Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Cat H: Crisis Spike (Upward),H2-GoldFearRally,1.61%,0.24,0.36,-23.95%,0.07,7.95%,48.44%,39.91%,3.2
Cat H: Crisis Spike (Upward),H3-DefenseSpikeBreakout,2.25%,0.26,0.36,-28.32%,0.08,11.13%,41.38%,59.77%,1.8
Cat H: Crisis Spike (Upward),H4-MultiAssetCrisisLong,-0.48%,-0.00,-0.00,-28.88%,-0.02,9.49%,40.50%,-9.68%,11.3
Cat H-FI: Fixed Income,H1-YieldCurveTrade,1.92%,0.22,0.31,-34.28%,0.06,12.33%,42.93%,49.16%,8.3
Cat H-FI: Fixed Income,H2-CreditSpreadMeanRev,5.88%,0.53,0.76,-24.39%,0.24,12.06%,43.25%,232.91%,3.9
Cat I: Momentum,I1-TimeSeriesMomentum,5.06%,0.39,0.54,-32.68%,0.15,15.76%,42.91%,182.63%,13.7
Cat I: Momentum,I2-CrossSectionalMomentum,6.89%,0.46,0.64,-34.16%,0.20,18.11%,41.31%,306.55%,15.7
Cat I: Momentum,I3-DualMomentum,7.83%,0.54,0.76,-32.20%,0.24,16.64%,42.46%,388.80%,14.1
Cat I: Momentum,I4-MomentumVolScaled,9.46%,0.60,0.84,-28.26%,0.33,17.79%,42.46%,570.99%,15.3
Cat I: Momentum,I5-GlobalMomentumRotation,4.92%,0.37,0.51,-39.96%,0.12,17.07%,42.23%,174.77%,16.6
Cat I: Momentum,I10-AdaptiveTrendFilter,-1.46%,-0.14,-0.19,-31.21%,-0.05,8.12%,51.98%,-26.67%,20.4
Cat I: Momentum,I7-DriftRegimeMomentum,-0.38%,-0.06,-0.08,-15.48%,-0.02,4.60%,43.78%,-7.65%,0.6
Cat I: Momentum,I8-TimeSeriesMomDrift,2.80%,0.31,0.43,-30.95%,0.09,10.66%,44.19%,78.97%,8.6
Cat J: Mean Reversion,J1-SectorMeanReversion,8.05%,0.57,0.81,-33.86%,0.24,15.89%,42.97%,410.79%,9.5
Cat J: Mean Reversion,J2-OvernightGapFade,6.26%,0.52,0.78,-34.79%,0.18,13.50%,37.91%,259.16%,5.1
Cat J: Mean Reversion,J3-RSIMeanReversion,0.03%,0.04,0.06,-3.05%,0.01,0.82%,29.03%,0.57%,0.2
Cat J: Mean Reversion,J4-CointegrationPairs,1.66%,0.37,0.52,-16.29%,0.10,4.71%,49.13%,41.32%,4.3
Cat J: Mean Reversion,J5-GlobalMeanReversion,-1.61%,-0.17,-0.23,-38.18%,-0.04,7.77%,45.27%,-28.88%,11.6
Cat J: Mean Reversion,J6-DriftReversalAlpha,2.59%,0.54,0.83,-10.06%,0.26,4.99%,49.20%,71.37%,0.6
Cat K: Factor,K1-LowVolFactor,11.94%,0.69,0.98,-30.65%,0.39,18.86%,41.15%,974.73%,12.7
Cat K: Factor,K2-MultiFactorComposite,13.10%,0.77,1.10,-29.76%,0.44,18.06%,42.47%,1235.39%,16.2
Cat K: Factor,K3-SizeFactor,8.79%,0.56,0.79,-36.50%,0.24,17.80%,43.46%,490.06%,13.3
Cat K: Factor,K4-ValueFactor,14.58%,0.81,1.14,-25.36%,0.57,19.19%,41.37%,1657.51%,15.1
Cat K: Factor,K5-RealAssetsFactor,5.00%,0.44,0.62,-36.40%,0.14,13.08%,44.54%,179.41%,8.8
Cat K: Factor,K6-QualityMomentumComposite,-0.40%,-0.00,-0.01,-29.52%,-0.01,8.57%,45.98%,-8.11%,16.3
Cat L: Volatility,L1-VolRiskPremium,10.80%,0.65,0.95,-38.74%,0.28,18.31%,42.72%,767.47%,10.8
Cat L: Volatility,L2-VolSpreadHarvest,12.82%,0.85,1.19,-35.64%,0.36,15.68%,42.91%,1168.89%,4.4
Cat L: Volatility,L3-VolTermStructure,14.86%,0.86,1.24,-24.52%,0.61,18.08%,44.51%,1750.34%,16.2
Cat L: Volatility,L4-VolOfVolRegime,17.86%,0.92,1.33,-31.26%,0.57,19.98%,42.05%,3083.96%,15.7
Cat L: Volatility,L5-VolSpikeRecovery,9.95%,0.84,1.20,-18.20%,0.55,12.26%,54.38%,637.10%,1.3
Cat L: Volatility,L6-CrossAssetVolSignal,17.67%,1.01,1.47,-30.27%,0.58,17.72%,44.17%,2979.19%,14.9
Cat L: Volatility,L7-ImpliedRealizedSpread,-0.85%,-0.08,-0.10,-27.34%,-0.03,7.49%,50.17%,-16.48%,11.0
Cat L: Volatility,L8-VolRegimeClustering,11.39%,0.70,1.01,-33.04%,0.34,17.50%,42.38%,868.94%,12.7
Cat L: Volatility,L9-VIXAdaptiveCarry,5.87%,0.52,0.75,-29.56%,0.20,12.32%,45.43%,232.32%,6.0
Cat L: Volatility,L10-DynamicVolRegimeSwitch,15.00%,0.84,1.19,-35.01%,0.43,18.68%,42.49%,1796.89%,12.3
Cat L: Volatility,L11-VolRiskPremiumAdaptive,17.36%,0.92,1.30,-33.16%,0.52,19.57%,42.42%,2808.85%,13.7
Cat M: Macro,M1-DollarCarry,8.94%,0.60,0.85,-29.10%,0.31,16.63%,42.58%,506.74%,14.1
Cat M: Macro,M2-GoldDollarInverse,11.20%,0.68,1.01,-33.83%,0.33,17.89%,40.45%,835.95%,13.1
Cat M: Macro,M3-EMRiskPremium,1.11%,0.15,0.21,-42.83%,0.03,12.39%,42.68%,26.29%,9.2
Cat M: Macro,M4-CommodityMomentum,8.08%,0.53,0.76,-34.49%,0.23,17.64%,41.67%,413.33%,12.0
Cat M: Macro,M5-RatesRegimeTrade,7.34%,0.55,0.77,-39.50%,0.19,14.79%,45.08%,344.37%,11.6
Cat M: Macro,M7-GlobalRotation,1.81%,0.20,0.27,-32.02%,0.06,14.72%,41.45%,46.00%,10.4
Cat M: Macro,M8-CommodityMacroSignal,4.26%,0.42,0.59,-34.01%,0.13,11.68%,46.32%,140.93%,12.9
Cat M: Macro,M9-YieldCurveRegime,10.27%,0.65,0.92,-35.03%,0.29,17.50%,42.87%,683.87%,11.6
Cat M: Macro,M10-MacroSignalScoreboard,9.27%,0.75,1.10,-24.25%,0.38,12.96%,42.66%,547.37%,3.7
Cat M: Macro,M11-AdaptiveMacroBlend,2.81%,0.28,0.40,-32.24%,0.09,12.88%,40.67%,79.19%,5.5
Cat M: Macro,M1b-DollarCarryScoreboard,7.92%,0.59,0.83,-28.08%,0.28,14.94%,41.40%,398.16%,8.3
Cat N: Seasonal,N1-SeasonalStrategy,9.54%,0.66,0.96,-28.85%,0.33,15.53%,41.47%,580.77%,7.0
Cat N: Seasonal,N2-TurnOfMonth,4.78%,0.40,0.59,-32.23%,0.15,14.01%,44.79%,167.13%,7.8
Cat N: Seasonal,N3-PreHolidayDrift,7.17%,0.68,1.00,-27.37%,0.26,11.15%,51.26%,330.19%,2.0
Cat O: Tail Risk,O1-TailRiskParity,16.26%,0.90,1.28,-32.91%,0.49,18.76%,42.75%,2289.05%,17.5
Cat O: Tail Risk,O4-BlackSwanInsurance,18.69%,1.03,1.47,-33.30%,0.56,18.33%,42.81%,3590.20%,9.6
Cat O: Tail Risk,O6-TailHedgeOverlay,8.43%,0.59,0.82,-31.30%,0.27,15.96%,42.25%,450.07%,6.9
Cat O: Tail Risk,O7-PreciousMetalsCrisisHedge,14.17%,0.92,1.29,-30.42%,0.47,15.80%,43.17%,1529.55%,5.0
Cat O: Tail Risk,O8-VolatilityConvexity,14.12%,0.85,1.20,-30.36%,0.47,17.26%,42.59%,1513.34%,7.9
Cat O: Tail Risk,O9-ATRCrisisAlpha,6.74%,0.51,0.71,-32.31%,0.21,15.19%,43.45%,294.65%,9.1
Cat P: ML Signal Combo,P1-FeatureComboSignal,7.50%,0.53,0.75,-29.71%,0.25,15.96%,43.29%,358.24%,11.3
Cat P: ML Signal Combo,P2-XGBoostSignalCombo,7.77%,0.51,0.71,-30.82%,0.25,17.73%,42.25%,383.20%,11.7
Cat P: ML Signal Combo,P3-GMMRegimeClassifier,9.32%,0.59,0.82,-29.11%,0.32,17.97%,41.96%,552.55%,13.0
Cat P: ML Signal Combo,P4-AdaptiveThreshold,13.41%,0.75,1.07,-32.03%,0.42,19.09%,42.88%,1314.71%,13.9
Cat P: ML Signal Combo,P5-CrossSectionalRanker,6.73%,0.49,0.70,-36.89%,0.18,15.90%,51.78%,294.32%,12.8
